ID,Tesis Adı,Kategori,Enlem,Boylam,Kritiklik,Durum,Kaynak,Etiket,Tahmini_Alan_km2,Koordinat_Kaynagi,Detayli_Stratejik_Aciklama,Z_Ekseni_Derinlik_m,Tahkimat_Seviyesi
359,Eilat Port Military Depot,Liman/Deniz,29.567837,34.9506,72,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,8,Orijinal/Algoritmik,ID-359 Kritik Yaşam Altyapısı (Eilat Liman Askeri Depo): İsrail'in sivil ve askeri enerji/su ihtiyacının %20-30 bandını tek başına karşılayan düğüm. Vurulması durumunda Gush Dan bölgesinde 72 saat içinde su krizi veya elektrik kesintisi tetiklenir. Tesisin SCADA sistemleri siber saldırılara karşı hava boşluklu (Air-gapped) mimari ile korunmaktadır. Fiziksel koruma Demir Kubbe tarafından önceliklendirilmiştir.,0,Standart / Yüzey
360,Ramat HaNegev Depot,Depo/Lojistik,30.6667,34.9167,72,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,3,Orijinal/Algoritmik,ID-360 Kritik Yaşam Altyapısı (Ramat HaNegev Depo): İsrail'in sivil ve askeri enerji/su ihtiyacının %20-30 bandını tek başına karşılayan düğüm. Vurulması durumunda Gush Dan bölgesinde 72 saat içinde su krizi veya elektrik kesintisi tetiklenir. Tesisin SCADA sistemleri siber saldırılara karşı hava boşluklu (Air-gapped) mimari ile korunmaktadır. Fiziksel koruma Demir Kubbe tarafından önceliklendirilmiştir.,0,Standart / Yüzey
361,Arad Southern Weapons Depot,Depo/Lojistik,31.232131,35.200582,70,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,3,Orijinal/Algoritmik,ID-361 Kritik Yaşam Altyapısı (Arad Güney Silah Deposu): İsrail'in sivil ve askeri enerji/su ihtiyacının %20-30 bandını tek başına karşılayan düğüm. Vurulması durumunda Gush Dan bölgesinde 72 saat içinde su krizi veya elektrik kesintisi tetiklenir. Tesisin SCADA sistemleri siber saldırılara karşı hava boşluklu (Air-gapped) mimari ile korunmaktadır. Fiziksel koruma Demir Kubbe tarafından önceliklendirilmiştir.,0,Standart / Yüzey
362,Yeruham Depot Area,Depo/Lojistik,30.981848,34.899953,68,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,3,Orijinal/Algoritmik,ID-362 Kritik Yaşam Altyapısı (Yeruham Depo Alanı): İsrail'in sivil ve askeri enerji/su ihtiyacının %20-30 bandını tek başına karşılayan düğüm. Vurulması durumunda Gush Dan bölgesinde 72 saat içinde su krizi veya elektrik kesintisi tetiklenir. Tesisin SCADA sistemleri siber saldırılara karşı hava boşluklu (Air-gapped) mimari ile korunmaktadır. Fiziksel koruma Demir Kubbe tarafından önceliklendirilmiştir.,0,Standart / Yüzey
363,Hazor Ammunition,Depo/Lojistik,31.748816,34.73393,72,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,3,Orijinal/Algoritmik,ID-363 Kritik Yaşam Altyapısı (Hazor Mühimmat): İsrail'in sivil ve askeri enerji/su ihtiyacının %20-30 bandını tek başına karşılayan düğüm. Vurulması durumunda Gush Dan bölgesinde 72 saat içinde su krizi veya elektrik kesintisi tetiklenir. Tesisin SCADA sistemleri siber saldırılara karşı hava boşluklu (Air-gapped) mimari ile korunmaktadır. Fiziksel koruma Demir Kubbe tarafından önceliklendirilmiştir.,0,Standart / Yüzey
364,Julis Weapons Maintenance,Bilinmiyor,31.69,34.675,65,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,OSINT Teyitli (Derin Araştırma),ID-364 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.,0,Standart / Yüzey
365,Camp Moshe Dayan Depot,Depo/Lojistik,32.001324,34.867125,65,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,3,Orijinal/Algoritmik,ID-365 Kritik Yaşam Altyapısı (Camp Moshe Dayan Depo): İsrail'in sivil ve askeri enerji/su ihtiyacının %20-30 bandını tek başına karşılayan düğüm. Vurulması durumunda Gush Dan bölgesinde 72 saat içinde su krizi veya elektrik kesintisi tetiklenir. Tesisin SCADA sistemleri siber saldırılara karşı hava boşluklu (Air-gapped) mimari ile korunmaktadır. Fiziksel koruma Demir Kubbe tarafından önceliklendirilmiştir.,0,Standart / Yüzey
366,IDF C4 Center – HaKirya,Bilinmiyor,32.074158,34.789915,95,KRİTİK,GlobalSec,Gerçek Operasyonel Hedef,1,OSINT Teyitli,ID-366 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 95 seviyesinde korunmaktadır.,0,Standart / Yüzey
367,Sde Dov Communication Tower,Bilinmiyor,32.098772,34.782187,82,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-367 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,0,Standart / Yüzey
368,Arad Communication Center,Bilinmiyor,31.266445,35.1985,78,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-368 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.,0,Standart / Yüzey
369,Megiddo Communication Station,Bilinmiyor,32.595,35.23,80,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1,OSINT Teyitli (Derin Araştırma),ID-369 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.,0,Standart / Yüzey
370,Negev Communication Hub A,Bilinmiyor,30.899597,34.899403,82,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-370 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,0,Standart / Yüzey
371,Negev Communication Hub B,Bilinmiyor,30.800512,35.050218,80,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-371 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.,0,Standart / Yüzey
372,Golan Communication Chain 1,Bilinmiyor,32.99919,35.782244,85,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-372 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,0,Standart / Yüzey
373,Golan Communication Chain 2,Bilinmiyor,32.950583,35.80025,83,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-373 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,0,Standart / Yüzey
374,Hermon Peak Communication,Bilinmiyor,33.28,35.77,92,KRİTİK,GlobalSec,Gerçek Operasyonel Hedef,1,OSINT Teyitli (Derin Araştırma),ID-374 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 92 seviyesinde korunmaktadır.,-15,Yüksek (Kaya Tahkimatlı Gözetim)
375,Carmel Peak Communication,Bilinmiyor,32.73241,35.048747,78,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-375 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.,0,Standart / Yüzey
376,Eilat Communication Center,Bilinmiyor,29.566413,34.95089,75,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-376 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,0,Standart / Yüzey
377,Mitzpe Ramon Communication,Bilinmiyor,30.608855,34.800063,75,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-377 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,0,Standart / Yüzey
378,Safed Communication Point,Bilinmiyor,32.966985,35.483513,75,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-378 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,0,Standart / Yüzey
379,Har Tayasim Communication,Bilinmiyor,31.250912,34.882287,80,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-379 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.,0,Standart / Yüzey
380,Halhul Communication Point,Bilinmiyor,31.582415,35.100884,72,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-380 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
381,Tel Aviv C2 Center,Askeri,32.066648,34.783683,90,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-381 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 90 seviyesinde korunmaktadır.,0,Standart / Yüzey
382,Jerusalem C2 Center,Askeri,31.767112,35.21634,88,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-382 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.,0,Standart / Yüzey
383,Be’er Sheva C2,Askeri,31.24982,34.782414,85,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-383 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,0,Standart / Yüzey
384,Haifa C2,Askeri,32.800857,35.016054,83,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-384 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,0,Standart / Yüzey
385,Kiryat Shmona C2,Askeri,32.074188,34.788987,80,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,OSINT Teyitli,ID-385 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.,0,Standart / Yüzey
386,Cabinet Bunker – Jerusalem,Tünel/Bunker,31.770715,35.199822,99,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-386 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 99 seviyesinde korunmaktadır.,-35,Çok Yüksek (COG VIP Sığınağı)
387,IDF Command Bunker A,Askeri,32.066828,34.783512,99,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-387 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 99 seviyesinde korunmaktadır.,-35,Çok Yüksek (COG VIP Sığınağı)
388,IDF Command Bunker B (Negev),Askeri,31.249505,34.800012,98,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-388 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 98 seviyesinde korunmaktadır.,-35,Çok Yüksek (COG VIP Sığınağı)
389,National Security Council Shelter,Bilinmiyor,31.774374,35.211311,99,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-389 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 99 seviyesinde korunmaktadır.,0,Standart / Yüzey
390,Knesset Security Complex,Bilinmiyor,31.7758,35.2042,92,KRİTİK,Wikipedia,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-390 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 92 seviyesinde korunmaktadır.,0,Standart / Yüzey
391,Defense Ministry Bunker,Tünel/Bunker,32.067082,34.783465,98,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-391 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 98 seviyesinde korunmaktadır.,-35,Çok Yüksek (COG VIP Sığınağı)
392,IDF Alternate Command (Tel Aviv),Askeri,32.049595,34.784574,97,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-392 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 97 seviyesinde korunmaktadır.,0,Standart / Yüzey
393,National Communication Infrastructure Hub,Bilinmiyor,32.065798,34.798906,95,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-393 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 95 seviyesinde korunmaktadır.,0,Standart / Yüzey
394,Electric Infrastructure Center A,Enerji,31.917096,34.866406,98,KRİTİK,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-394 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 98 seviyesinde korunmaktadır.,0,Standart / Yüzey
395,Water Infrastructure Security A,Bilinmiyor,32.0333,34.9167,98,KRİTİK,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-395 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 98 seviyesinde korunmaktadır.,0,Standart / Yüzey
396,Har Dov Forward Position,Bilinmiyor,33.249424,35.649652,88,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-396 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.,0,Standart / Yüzey
397,Rosh HaNikra Observation,Bilinmiyor,33.082437,35.098877,78,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-397 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.,0,Standart / Yüzey
398,Tel HaZaatar Observation,Bilinmiyor,32.9833,35.1167,72,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-398 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
399,Har Meron Observation Point,Radar/İletişim,32.983625,35.41694,85,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,2,Orijinal/Algoritmik,"ID-399 Har Meron Gözlem Noktası: Katmanlı hava savunma ağının (Multi-Tiered AD) birincil sensör düğümü. L-Band/X-Band frekans aralığında çalışan bu radar, 2.500 km menzildeki balistik imzaları ayırabilir. Vurulması durumunda David's Sling ve Arrow bataryalarının tepki süresi %40 oranında düşer. Tesis, otonom drone saldırılarına karşı 'C-RAM' ve elektronik harp (EW) şemsiyesi altındadır.",0,Standart / Yüzey
400,Har Shifon Observation,Bilinmiyor,33.1333,35.7667,82,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-400 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,0,Standart / Yüzey
401,Gamla North Observation,Bilinmiyor,32.917388,35.749515,75,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-401 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,0,Standart / Yüzey
402,Tel Kazir Observation,Bilinmiyor,32.831953,35.64993,72,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-402 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
403,Jordan Valley Observation A,Bilinmiyor,32.3333,35.5333,72,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-403 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
404,Jordan Valley Observation B,Bilinmiyor,32.000506,35.549552,70,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-404 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,0,Standart / Yüzey
405,Jordan Valley Observation C,Bilinmiyor,31.750605,35.516035,68,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-405 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,0,Standart / Yüzey
406,Negev Observation Peak A,Bilinmiyor,30.934555,34.900128,68,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-406 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,0,Standart / Yüzey
407,Negev Observation Peak B,Bilinmiyor,30.801057,35.100011,65,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-407 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.,0,Standart / Yüzey
408,Northern Negev Observation,Bilinmiyor,31.149981,34.850996,67,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-408 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.,0,Standart / Yüzey
409,Yotvata Southern Observation,Bilinmiyor,29.849134,35.051169,63,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-409 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 63 seviyesinde korunmaktadır.,0,Standart / Yüzey
410,Arava Observation Peak,Bilinmiyor,30.501162,35.083731,65,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-410 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.,0,Standart / Yüzey
411,Negev Abnormal Structure A,Tünel/Bunker,30.8333,34.9167,75,PASİF,Uydu,Sahte (Decoy) / Yanıltıcı Tesis,0.5,Orijinal/Algoritmik,ID-411 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,0,Standart / Yüzey
412,Negev Abnormal Structure B,Tünel/Bunker,30.668035,35.051144,75,PASİF,Uydu,Sahte (Decoy) / Yanıltıcı Tesis,0.5,Orijinal/Algoritmik,ID-412 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,0,Standart / Yüzey
413,Negev Abnormal Structure C,Tünel/Bunker,30.5167,34.8333,75,PASİF,Uydu,Sahte (Decoy) / Yanıltıcı Tesis,0.5,Orijinal/Algoritmik,ID-413 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,0,Standart / Yüzey
414,Negev Abnormal Structure D,Tünel/Bunker,30.948586,35.283569,75,PASİF,Uydu,Sahte (Decoy) / Yanıltıcı Tesis,0.5,Orijinal/Algoritmik,ID-414 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,0,Standart / Yüzey
415,Arava Desert Facility A,Tünel/Bunker,30.248689,35.017657,75,PASİF,Uydu,Sahte (Decoy) / Yanıltıcı Tesis,0.5,Orijinal/Algoritmik,ID-415 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,0,Standart / Yüzey
416,Arava Desert Facility B,Tünel/Bunker,30.416333,35.099244,75,PASİF,Uydu,Sahte (Decoy) / Yanıltıcı Tesis,0.5,Orijinal/Algoritmik,ID-416 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,0,Standart / Yüzey
417,Rotem Plain Structure A,Tünel/Bunker,30.798557,35.20146,75,PASİF,Uydu,Sahte (Decoy) / Yanıltıcı Tesis,0.5,Orijinal/Algoritmik,ID-417 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,0,Standart / Yüzey
418,Rotem Plain Structure B,Tünel/Bunker,30.749462,35.132436,75,PASİF,Uydu,Sahte (Decoy) / Yanıltıcı Tesis,0.5,Orijinal/Algoritmik,ID-418 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,0,Standart / Yüzey
419,Dimona Northeast Facility,Tünel/Bunker,31.049371,35.217666,85,PASİF,Uydu,Sahte (Decoy) / Yanıltıcı Tesis,0.5,Orijinal/Algoritmik,ID-419 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,-50,Ekstrem (Sığınak Delici Mühimmat Gerekli)
