ID,Tesis Adı,Kategori,Enlem,Boylam,Kritiklik,Durum,Kaynak,Etiket,Tahmini_Alan_km2,Detayli_Stratejik_Aciklama,Bağlı_Olduğu_Üs
143,Eilat Radar Noktası,radar,29.5667,34.95,80,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,2.0,"ID-143 Eilat Radar Noktası: Katmanlı hava savunma ağının (Multi-Tiered AD) birincil sensör düğümü. L-Band/X-Band frekans aralığında çalışan bu radar, 2.500 km menzildeki balistik imzaları ayırabilir. Vurulması durumunda David's Sling ve Arrow bataryalarının tepki süresi %40 oranında düşer. Tesis, otonom drone saldırılarına karşı 'C-RAM' ve elektronik harp (EW) şemsiyesi altındadır.",İsrail Ulusal Ağ
144,Carmel Radar Noktası,radar,32.7333,35.05,82,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,2.0,"ID-144 Carmel Radar Noktası: Katmanlı hava savunma ağının (Multi-Tiered AD) birincil sensör düğümü. L-Band/X-Band frekans aralığında çalışan bu radar, 2.500 km menzildeki balistik imzaları ayırabilir. Vurulması durumunda David's Sling ve Arrow bataryalarının tepki süresi %40 oranında düşer. Tesis, otonom drone saldırılarına karşı 'C-RAM' ve elektronik harp (EW) şemsiyesi altındadır.",İsrail Ulusal Ağ
145,Beer Sheva Siber Merkezi,istihbarat,31.25,34.7833,93,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,2.0,"ID-145 Elektronik Harp ve Veri Merkezi: İsrail ordusunun (IDF) 'Gospel AI' hedefleme sisteminin ve Unit 8200'ün veri işleme kapasitesinin barındığı nokta. Denizaltı fiber optik kablolarının ve uydu yer istasyonlarının sinir düğümüdür. Fiziksel imhası, cephedeki askerlerin anlık istihbarat akışını keser ve otonom platformları (İHA/SİHA) kontrolsüz bırakır. Siber kalkan (Cyber Dome) tarafından 7/24 dijital koruma altındadır.",İsrail Ulusal Ağ
146,Majdal Shams İstihbarat,istihbarat,33.2667,35.7833,88,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,2.0,"ID-146 Elektronik Harp ve Veri Merkezi: İsrail ordusunun (IDF) 'Gospel AI' hedefleme sisteminin ve Unit 8200'ün veri işleme kapasitesinin barındığı nokta. Denizaltı fiber optik kablolarının ve uydu yer istasyonlarının sinir düğümüdür. Fiziksel imhası, cephedeki askerlerin anlık istihbarat akışını keser ve otonom platformları (İHA/SİHA) kontrolsüz bırakır. Siber kalkan (Cyber Dome) tarafından 7/24 dijital koruma altındadır.",İsrail Ulusal Ağ
147,Tel Faris İstihbarat Gözlemi,istihbarat,32.8167,35.7,85,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,2.0,"ID-147 Elektronik Harp ve Veri Merkezi: İsrail ordusunun (IDF) 'Gospel AI' hedefleme sisteminin ve Unit 8200'ün veri işleme kapasitesinin barındığı nokta. Denizaltı fiber optik kablolarının ve uydu yer istasyonlarının sinir düğümüdür. Fiziksel imhası, cephedeki askerlerin anlık istihbarat akışını keser ve otonom platformları (İHA/SİHA) kontrolsüz bırakır. Siber kalkan (Cyber Dome) tarafından 7/24 dijital koruma altındadır.",İsrail Ulusal Ağ
148,Negev Dinleme İstasyonu C,istihbarat,31.0167,34.9667,88,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-148 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
149,Negev Dinleme İstasyonu D,istihbarat,30.95,35.15,87,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-149 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 87 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
150,Kuzey Lübnan Sınırı SIGINT,istihbarat,33.1,35.35,90,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-150 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 90 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
151,IDF Genel Karargah HaKirya,komuta,32.0667,34.7833,98,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-151 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 98 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
152,Tel HaShomer Askeri Merkezi,askeri,32.05,34.8667,85,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-152 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
153,Camp 80 (Tzrifin),askeri,31.93,34.86,80,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-153 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
154,Julis Askeri Kampı,askeri,31.6833,34.6667,78,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-154 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
155,Bahad 1 Eğitim Üssü,unknown,31.15,35.0667,75,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,5.0,ID-155 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
156,Bahad 4 Topçu Okulu,unknown,31.75,34.85,72,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-156 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
157,Bahad 6 Piyade Okulu,askeri,32.5,35.1333,70,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-157 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
158,Bahad 7 Zırhlı Okul,askeri,30.85,34.7833,72,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-158 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
159,Bahad 10 Hava Savunma Okulu,havasavunma,31.25,34.9,70,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-159 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
160,Bahad 14 Lojistik Okulu,depo,31.8,34.8333,65,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-160 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
161,Bahad 15 İstihbarat Okulu,unknown,31.9,34.9667,75,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-161 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
162,Tze'elim Eğitim Alanı,askeri,31.2333,34.5333,78,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,5.0,ID-162 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
163,Shivta Eğitim Bölgesi,askeri,30.8833,34.6333,72,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-163 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
164,Golani Tugay Karargahı,komuta,32.6833,35.5,82,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-164 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
165,Givati Tugay Karargahı,komuta,31.7167,34.7667,82,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-165 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
166,Paraşüt Tugayı Karargahı,komuta,32.05,34.8833,83,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-166 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
167,Netzah Yehuda Tugayı,komuta,32.2167,35.2167,75,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-167 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
168,Kfir Tugayı Karargahı,komuta,31.65,35.0833,76,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-168 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 76 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
169,Alexandroni Tugayı,komuta,32.2,34.9167,73,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-169 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 73 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
170,Beit Lid Askeri Kampı,askeri,32.3667,34.95,72,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,5.0,ID-170 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
171,Michve Alon Eğitim Merkezi,unknown,32.9667,35.4333,68,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,5.0,ID-171 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
172,Sarafend (Tzrifin) Merkez Üs,unknown,31.9167,34.8833,80,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-172 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
173,Schneller Kampüsü - Jerusalem,komuta,31.7833,35.2167,80,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-173 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
174,IDF Lojistik Kolordu (Bahad 22),komuta,31.9167,34.8667,78,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,3.0,ID-174 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
175,252. Zırhlı Tümen Karargahı,komuta,29.9167,34.9,82,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-175 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
176,36. Tümen Karargahı (Golan),komuta,32.9667,35.7667,85,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-176 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
177,162. Zırhlı Tümen,komuta,31.95,34.9,82,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-177 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
178,319. Paraşüt Tugayı,komuta,32.0333,34.8667,80,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-178 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
179,Nafah Zırhlı Üssü (Golan),askeri,32.9667,35.7667,85,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-179 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
180,Nitzanim Askeri Alanı,askeri,31.7167,34.6167,70,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-180 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
181,Kiryat Shmona Kuzey Garnizonu,komuta,33.2,35.5667,78,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,5.0,ID-181 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
182,Beit She'an Garnizonu,askeri,32.5,35.5,72,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,5.0,ID-182 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
183,Ein Gedi Askeri Bölge,askeri,31.45,35.3833,68,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,5.0,ID-183 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
184,Kerem Shalom Sınır Üssü,unknown,31.2,34.2833,80,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-184 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
185,Kfar Saba Bölge Üssü,askeri,32.1833,34.9167,65,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-185 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
186,Modi'in Askeri Karargah,komuta,31.9,35.0,68,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-186 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
187,Ramla Askeri Merkezi,askeri,31.9333,34.8667,72,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-187 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
188,Ramla Askeri Cezaevi,askeri,31.9333,34.85,65,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-188 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
189,Beer Sheva Kuzey Askeri Bölge,askeri,31.2833,34.8,72,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-189 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
190,Yeruham Askeri Alan,askeri,30.9833,34.9167,68,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-190 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
191,Ofaqim Bölge Üssü,askeri,31.3167,34.6167,65,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-191 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
192,Arad Askeri Bölge,askeri,31.2667,35.2167,67,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-192 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
193,Sde Boker Eğitim Kampı,unknown,30.85,34.7833,65,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-193 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
194,Mitzpe Ramon Garnizon,askeri,30.61,34.8,68,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-194 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
195,Yotvata Güney Garnizon,askeri,29.8833,35.0333,65,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-195 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
196,Tseva'on Polis/Askeri,askeri,32.0167,34.8833,62,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-196 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 62 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
197,Beit Lid Kuzey Kamp,askeri,32.3833,34.9667,63,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-197 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 63 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
198,Biranit Kuzey Üssü,askeri,33.0833,35.25,70,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-198 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
199,Adamit Üssü,askeri,33.05,35.1833,68,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-199 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
200,Shlomi Askeri Bölge,askeri,33.0667,35.1667,67,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,5.0,ID-200 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
201,Sayeret Matkal Üssü,askeri,32.0333,34.8833,99,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-201 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 99 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
202,Shayetet 13 - Atlit,liman,32.6833,34.9333,97,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-202 Deniz Strateji Noktası (Shayetet 13 - Atlit): Akdeniz'deki deniz hakimiyeti ve nükleer kapasiteli denizaltıların lojistik ikmal hattı. Denizaltı penleri ve yeraltı torpido depoları sığınak delici mühimmata karşı korumalıdır. Barak-8 gemi konuşlu hava savunma sistemleri bölgenin ana kalkanıdır.,İsrail Ulusal Ağ
203,Shaldag Hava Özel Kuvvet,hava,31.84,34.82,96,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-203 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 96 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
204,Oketz K9 Özel Kuvvet,askeri,31.6167,34.6833,88,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-204 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
205,Unit 669 Kurtarma,istihbarat,31.8967,34.69,90,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-205 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 90 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
206,Unit 217 (Duvdevan),istihbarat,31.95,35.2,95,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-206 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 95 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
207,Egoz Dağ Özel Kuvvetleri,askeri,33.0833,35.2167,88,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-207 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
208,Maglan Özel Keşif,askeri,32.05,34.8833,93,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,ID-208 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 93 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
