ID,Tesis Adı,Kategori,Enlem,Boylam,Kritiklik,Durum,Kaynak,Etiket,Tahmini_Alan_km2,Koordinat_Kaynagi,Detayli_Stratejik_Aciklama
234,Controp Hassas Optik,Sanayi,32.081893,34.899263,72,KONTROL ET,Wikipedia,Gerçek Operasyonel Hedef,3.0,Orijinal/Algoritmik,ID-234 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
235,Orbit Communication,Sanayi,32.166587,34.832999,70,KONTROL ET,Wikipedia,Gerçek Operasyonel Hedef,3.0,Orijinal/Algoritmik,ID-235 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
236,Rafael Iron Dome Üretim,Sanayi,32.783076,35.033072,88,KONTROL ET,Wikipedia,Gerçek Operasyonel Hedef,3.0,Orijinal/Algoritmik,ID-236 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.
237,IAI Arrow Üretim,Sanayi,32.01625,34.883551,90,KONTROL ET,Wikipedia,Gerçek Operasyonel Hedef,3.0,Orijinal/Algoritmik,ID-237 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 90 seviyesinde korunmaktadır.
238,Elbit Hermes İHA Üretim,Sanayi,32.816885,35.01638,85,KONTROL ET,Wikipedia,Gerçek Operasyonel Hedef,3.0,Orijinal/Algoritmik,ID-238 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.
239,IAI Heron İHA Tesisi,Sanayi,32.009429,34.888889,83,KONTROL ET,Wikipedia,Gerçek Operasyonel Hedef,3.0,Orijinal/Algoritmik,ID-239 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.
240,Rafael Spice Bomba Tesisi,Sanayi,32.789381,35.019791,85,KONTROL ET,Wikipedia,Gerçek Operasyonel Hedef,3.0,Orijinal/Algoritmik,ID-240 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.
241,MAFAT Savunma AR-GE Merkezi,Bilinmiyor,32.0667,34.7667,95,KRİTİK,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-241 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 95 seviyesinde korunmaktadır.
242,Technion Savunma Araştırma,Araştırma,32.7767,35.0217,88,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-242 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.
243,Weizmann Enstitüsü Savunma Lab,Araştırma,31.9053,34.8047,85,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-243 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.
244,Ben Gurion Üniv. Güvenlik Lab,Araştırma,31.2611,34.7994,82,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-244 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.
245,Tel Aviv Üniv. İstihbarat Araştırma,Araştırma,32.1133,34.8044,80,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-245 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.
246,Homa Güvenlik Projesi Merkezi,Araştırma,31.783239,35.201237,88,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-246 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.
247,IIBR Biyolojik Araştırma - Nes Ziona,Araştırma,31.919566,34.796431,95,KRİTİK,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-247 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 95 seviyesinde korunmaktadır.
248,DDR&D Nano Malzeme Lab,Araştırma,32.083096,34.783305,82,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-248 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.
249,Technion Siber Güvenlik Merkezi,Araştırma,32.780051,35.017598,85,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,2.0,Orijinal/Algoritmik,"ID-249 Elektronik Harp ve Veri Merkezi: İsrail ordusunun (IDF) 'Gospel AI' hedefleme sisteminin ve Unit 8200'ün veri işleme kapasitesinin barındığı nokta. Denizaltı fiber optik kablolarının ve uydu yer istasyonlarının sinir düğümüdür. Fiziksel imhası, cephedeki askerlerin anlık istihbarat akışını keser ve otonom platformları (İHA/SİHA) kontrolsüz bırakır. Siber kalkan (Cyber Dome) tarafından 7/24 dijital koruma altındadır."
250,Unit 8200 Siber Lab - Beer Sheva,Araştırma,32.145039,34.802745,92,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,2.0,OSINT Teyitli,"ID-250 Elektronik Harp ve Veri Merkezi: İsrail ordusunun (IDF) 'Gospel AI' hedefleme sisteminin ve Unit 8200'ün veri işleme kapasitesinin barındığı nokta. Denizaltı fiber optik kablolarının ve uydu yer istasyonlarının sinir düğümüdür. Fiziksel imhası, cephedeki askerlerin anlık istihbarat akışını keser ve otonom platformları (İHA/SİHA) kontrolsüz bırakır. Siber kalkan (Cyber Dome) tarafından 7/24 dijital koruma altındadır."
251,Beit El Askeri Karargahı,Askeri,31.950413,35.215509,82,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-251 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.
252,Ofer Cezaevi/Askeri Kompleks,Askeri,31.898516,35.1331,78,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-252 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.
253,Etzion Bloku Askeri Karargah,Askeri,31.649286,35.11725,80,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-253 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.
254,Salem Askeri Karargah,Askeri,32.3833,35.1833,78,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-254 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.
255,Hebron H2 Askeri Bölge,Askeri,31.5333,35.0833,75,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-255 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.
256,Nablus Bölge Komutanlığı,Askeri,32.2167,35.2667,78,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-256 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.
257,Kedumin Üssü,Bilinmiyor,32.151289,35.06762,72,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-257 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
258,Jordan Valley Üssü,Bilinmiyor,32.015454,35.550474,80,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-258 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.
259,Ariel Askeri Bölge,Askeri,32.1167,35.1667,72,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-259 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
260,Jenin Bölge Üssü,Bilinmiyor,32.46549,35.299153,78,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-260 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.
261,Tulkarem Askeri Kontrol,Askeri,32.3167,35.0333,75,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-261 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.
262,Ramallah Çevre Üssü,Askeri,31.899676,35.200662,73,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-262 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 73 seviyesinde korunmaktadır.
263,Qalqilya Askeri Bölge,Askeri,32.1833,34.9833,70,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-263 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
264,Bethlehem Askeri Çevre,Askeri,31.717529,35.199413,70,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-264 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
265,Jericho Askeri Kontrol,Askeri,31.850066,35.450581,72,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-265 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
266,Gush Etzion Üssü,Bilinmiyor,31.6333,35.1167,75,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-266 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.
267,Shaked Kontrol Noktası,Askeri,32.4333,35.1167,65,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-267 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.
268,Huwara Kontrol Bölgesi,Askeri,32.1667,35.2667,65,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-268 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.
269,Adam Köprüsü Kontrol,Askeri,31.9667,35.2167,67,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-269 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.
270,Beitar Illit Askeri Bölge,Askeri,31.6833,35.1167,68,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-270 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.
271,Golan Tümeni 36. Karargahı,Bilinmiyor,32.950417,35.766213,90,KRİTİK,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-271 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 90 seviyesinde korunmaktadır.
272,Nafah Zırhlı Kamp,Bilinmiyor,32.966535,35.766604,88,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,5.0,Orijinal/Algoritmik,ID-272 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.
273,Mount Hermon İleri Radar,Radar/İletişim,33.415418,35.848695,97,KRİTİK,Wikipedia,Gerçek Operasyonel Hedef,2.0,Orijinal/Algoritmik,"ID-273 Mount Hermon İleri Radar: Katmanlı hava savunma ağının (Multi-Tiered AD) birincil sensör düğümü. L-Band/X-Band frekans aralığında çalışan bu radar, 2.500 km menzildeki balistik imzaları ayırabilir. Vurulması durumunda David's Sling ve Arrow bataryalarının tepki süresi %40 oranında düşer. Tesis, otonom drone saldırılarına karşı 'C-RAM' ve elektronik harp (EW) şemsiyesi altındadır."
274,Majdal Shams İstihbarat Noktası,Bilinmiyor,33.266819,35.783061,88,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-274 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.
275,Tel Faris Gözlem İstasyonu,Bilinmiyor,32.816512,35.700768,82,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-275 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.
276,Quneitra Sınır Üssü,Bilinmiyor,33.1167,35.8167,85,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-276 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.
277,Booster Hermon İletişim,Radar/İletişim,33.3833,35.8167,90,KRİTİK,GlobalSec,Gerçek Operasyonel Hedef,2.0,Orijinal/Algoritmik,"ID-277 Booster Hermon İletişim: Katmanlı hava savunma ağının (Multi-Tiered AD) birincil sensör düğümü. L-Band/X-Band frekans aralığında çalışan bu radar, 2.500 km menzildeki balistik imzaları ayırabilir. Vurulması durumunda David's Sling ve Arrow bataryalarının tepki süresi %40 oranında düşer. Tesis, otonom drone saldırılarına karşı 'C-RAM' ve elektronik harp (EW) şemsiyesi altındadır."
278,Har Avital Gözlem/Radar,Radar/İletişim,32.982858,35.766333,88,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,2.0,Orijinal/Algoritmik,"ID-278 Har Avital Gözlem/Radar: Katmanlı hava savunma ağının (Multi-Tiered AD) birincil sensör düğümü. L-Band/X-Band frekans aralığında çalışan bu radar, 2.500 km menzildeki balistik imzaları ayırabilir. Vurulması durumunda David's Sling ve Arrow bataryalarının tepki süresi %40 oranında düşer. Tesis, otonom drone saldırılarına karşı 'C-RAM' ve elektronik harp (EW) şemsiyesi altındadır."
279,Golan Sığınak Hattı Güney,Tünel/Bunker,32.7833,35.7167,75,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-279 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.
280,Golan Sığınak Hattı Kuzey,Tünel/Bunker,33.0989,35.799233,78,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-280 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.
281,Ein Zivan Radar İstasyonu,Radar/İletişim,32.949863,35.748764,85,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,2.0,Orijinal/Algoritmik,"ID-281 Ein Zivan Radar İstasyonu: Katmanlı hava savunma ağının (Multi-Tiered AD) birincil sensör düğümü. L-Band/X-Band frekans aralığında çalışan bu radar, 2.500 km menzildeki balistik imzaları ayırabilir. Vurulması durumunda David's Sling ve Arrow bataryalarının tepki süresi %40 oranında düşer. Tesis, otonom drone saldırılarına karşı 'C-RAM' ve elektronik harp (EW) şemsiyesi altındadır."
282,Gamla İleri Gözlem,Bilinmiyor,32.899605,35.749675,78,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-282 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.
283,Katzrin Askeri Bölge,Askeri,32.9833,35.6833,75,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,5.0,Orijinal/Algoritmik,ID-283 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.
284,Natur Askeri Noktası,Askeri,32.8667,35.7333,72,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-284 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
285,Alonei HaBashan Üssü,Askeri,33.015957,35.74867,73,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,5.0,Orijinal/Algoritmik,ID-285 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 73 seviyesinde korunmaktadır.
286,Golan SIGINT Zinciri 3,Bilinmiyor,33.048935,35.832501,88,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-286 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.
287,Golan Kuzey İHA İstasyonu,Bilinmiyor,33.148933,35.783932,82,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-287 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.
288,Tel HaZika Gözlem,Bilinmiyor,32.85016,35.783945,75,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-288 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.
289,Moshav Nov Radar,Radar/İletişim,32.8333,35.7333,80,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,2.0,Orijinal/Algoritmik,"ID-289 Moshav Nov Radar: Katmanlı hava savunma ağının (Multi-Tiered AD) birincil sensör düğümü. L-Band/X-Band frekans aralığında çalışan bu radar, 2.500 km menzildeki balistik imzaları ayırabilir. Vurulması durumunda David's Sling ve Arrow bataryalarının tepki süresi %40 oranında düşer. Tesis, otonom drone saldırılarına karşı 'C-RAM' ve elektronik harp (EW) şemsiyesi altındadır."
290,Golan Anti-Tank Mevzii A,Bilinmiyor,32.89932,35.799287,72,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-290 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
291,Golan Anti-Tank Mevzii B,Bilinmiyor,32.998795,35.817223,72,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-291 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
292,Kfar Haruv Sınır Noktası,Bilinmiyor,32.799254,35.699624,70,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-292 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
293,Ramat Magshimim Üssü,Askeri,32.9167,35.7167,70,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,5.0,Orijinal/Algoritmik,ID-293 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
294,Giv'at Yoav Gözlem,Bilinmiyor,32.8167,35.6667,68,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-294 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.
295,Ein HaMifratz İleri Nokta,Askeri,32.967066,35.799495,75,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-295 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 75 seviyesinde korunmaktadır.
296,Metula İleri Üs,Bilinmiyor,33.2833,35.5667,85,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-296 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.
297,Rosh HaNikra Sınır Üssü,Bilinmiyor,33.084649,35.098658,80,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-297 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.
298,Hanita Üssü,Bilinmiyor,33.067263,35.150214,78,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-298 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 78 seviyesinde korunmaktadır.
