"ID","Tesis Adı","Kategori","Enlem","Boylam","Kritiklik","Durum","Kaynak","Etiket","Tahmini_Alan_km2","Detayli_Stratejik_Aciklama"
"491","İsrail - Elektronik Harp Araştırma Lab [491]","arastirma","30.692861","35.42891","79","Planlama","KISMİ DOĞRULAMA | İstihbarat raporu bazlı tahmin | Koordinat yaklaşık | Bağımsız teyit önerilir","ÖNCELİKLİ","6.94","Araştırma ve geliştirme tesisleri teknolojik üstünlük için kritiktir. Bilgi güvenliği zorunludur."
"492","Irak - Deniz Mayın Tarama Üssü [492]","liman","30.534839","45.719806","91","Gizli","BİLİNMİYOR | Kesin konum teyit edilemedi | Bölge tahmini yapılmıştır | Doğrulama gerekli","ACİL KORUMA","11.68","Liman ve deniz tesislerinin kaybı lojistik ve ikmal zincirini koparır. Sualtı engel sistemi, sonar izleme ve deniz devriyesi zorunludur."
"493","Irak - Güdümlü Mermi Balistik Araştırma [493]","arastirma","35.038964","45.372737","93","Aktif","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","ACİL KORUMA","2.17","Araştırma ve geliştirme tesisleri teknolojik üstünlük için kritiktir. Bilgi güvenliği zorunludur."
"494","Malta - Entegre Hava Savunma Radar Merkezi [494]","radar","35.758131","14.46864","85","Planlama","KISMİ DOĞRULAMA | İstihbarat raporu bazlı tahmin | Koordinat yaklaşık | Bağımsız teyit önerilir","ACİL KORUMA","5.05","İletişim ve radar altyapısının çökmesi komuta zincirini koparır. Şifreli yedek kanallar, uydu bağlantısı ve EMP koruması hayati önem taşır."
"495","İsrail - Uzun Menzilli Erken Uyarı Radar Sistemi [495]","radar","29.735725","35.504972","94","Aktif","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","ACİL KORUMA","17.37","İletişim ve radar altyapısının çökmesi komuta zincirini koparır. Şifreli yedek kanallar, uydu bağlantısı ve EMP koruması hayati önem taşır."
"496","Ürdün - Siber Güvenlik Ar-Ge Merkezi [496]","arastirma","31.531823","35.942091","69","Aktif","BİLİNMİYOR | Kesin konum teyit edilemedi | Bölge tahmini yapılmıştır | Doğrulama gerekli","ÖNCELİKLİ","7.78","Araştırma ve geliştirme tesisleri teknolojik üstünlük için kritiktir. Bilgi güvenliği zorunludur."
"497","Suudi Arabistan - Savunma Araştırma Geliştirme Enstitüsü [497]","arastirma","31.622834","41.165734","23","Bakımda","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","DÜŞÜK","17.38","Araştırma ve geliştirme tesisleri teknolojik üstünlük için kritiktir. Bilgi güvenliği zorunludur."
"498","İsrail - Tıbbi Malzeme Lojistik Deposu [498]","depo","32.806449","35.577974","99","Bakımda","DOĞRULANDI | Hükümet resmi kayıtları + açık kaynak teyit | GPS koordinatı doğrulandı","ACİL KORUMA","14.51","Lojistik ve depo tesisleri savaş hazırlığının temel direğidir. Yeraltı depolama ve ikmal zinciri güvencesi şarttır."
"499","Girit - Deniz Hava Devriye İstasyonu [499]","hava","35.13475","24.005664","96","Aktif","BİLİNMİYOR | Kesin konum teyit edilemedi | Bölge tahmini yapılmıştır | Doğrulama gerekli","ACİL KORUMA","0.86","Hava üsleri saldırı altında kaldığında hava hakimiyeti kaybedilir. Perimeter radar, hava savunma sistemi ve EMP koruması birincil gereksinimlerdir."
"500","Mısır - CBRN Kontrol İzleme Noktası [500]","nukleer","26.927775","26.070175","29","Bakımda","DOĞRULANDI | Açık kaynak askeri veritabanı çapraz teyit | Koordinat uydu görüntüsüyle doğrulandı","DÜŞÜK","3.12","Nükleer tesisler en yüksek koruma standartlarına tabidir. CBRN savunma ve çok katmanlı güvenlik zorunludur."
"501","Doğu Akdeniz - CBRN Kontrol İzleme Noktası [501]","nukleer","33.268145","33.225091","98","Gizli","KISMİ DOĞRULAMA | Açık kaynak medya + OSINT teyit | Kesin koordinat yaklaşık verilmiştir","ACİL KORUMA","1.5","Nükleer tesisler en yüksek koruma standartlarına tabidir. CBRN savunma ve çok katmanlı güvenlik zorunludur."
"502","Ürdün - Denizaltı Deniz Üssü [502]","liman","30.519115","35.92384","85","Kısmi","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","ACİL KORUMA","10.76","Liman ve deniz tesislerinin kaybı lojistik ve ikmal zincirini koparır. Sualtı engel sistemi, sonar izleme ve deniz devriyesi zorunludur."
"503","Yunanistan Kıta - NATO İleri Lojistik Elemanı [503]","depo","39.050022","25.672117","86","Gizli","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","ACİL KORUMA","9.52","Lojistik ve depo tesisleri savaş hazırlığının temel direğidir. Yeraltı depolama ve ikmal zinciri güvencesi şarttır."
"504","Fransa Güney - HES Tesisi [504]","enerji","43.570795","7.541513","94","Bakımda","KISMİ DOĞRULAMA | İstihbarat raporu bazlı tahmin | Koordinat yaklaşık | Bağımsız teyit önerilir","ACİL KORUMA","12.29","Enerji altyapısının çökmesi bölgedeki tüm askeri ve sivil kapasiteyi felç eder. Yedek güç sistemi, siber izleme ve fiziksel bariyer katmanları zorunludur."
"505","Suriye Kıyı - Jet Yakıtı Akaryakıt Deposu [505]","depo","34.841358","35.527914","83","Kısmi","KISMİ DOĞRULAMA | Açık kaynak medya + OSINT teyit | Kesin koordinat yaklaşık verilmiştir","ACİL KORUMA","10.83","Lojistik ve depo tesisleri savaş hazırlığının temel direğidir. Yeraltı depolama ve ikmal zinciri güvencesi şarttır."
"506","Mısır - Tıbbi Malzeme Lojistik Deposu [506]","depo","21.263116","29.996208","94","Kısmi","DOĞRULANDI | Açık kaynak askeri veritabanı çapraz teyit | Koordinat uydu görüntüsüyle doğrulandı","ACİL KORUMA","5.96","Lojistik ve depo tesisleri savaş hazırlığının temel direğidir. Yeraltı depolama ve ikmal zinciri güvencesi şarttır."
"507","Irak - Deniz Hava Devriye İstasyonu [507]","hava","31.001597","43.833389","97","Gizli","DOĞRULANDI | Açık kaynak askeri veritabanı çapraz teyit | Koordinat uydu görüntüsüyle doğrulandı","ACİL KORUMA","12.56","Hava üsleri saldırı altında kaldığında hava hakimiyeti kaybedilir. Perimeter radar, hava savunma sistemi ve EMP koruması birincil gereksinimlerdir."
"508","Girit - Yeraltı Ulusal Komuta Bunkerı [508]","tunel","35.409345","25.704709","73","Aktif","KISMİ DOĞRULAMA | İstihbarat raporu bazlı tahmin | Koordinat yaklaşık | Bağımsız teyit önerilir","ÖNCELİKLİ","13.74","Yeraltı ve sığınak tesisleri komuta sürekliliğini güvence altına alır. CBRN koruması ve yedek iletişim zorunludur."
"509","Kıbrıs - Nakliye Lojistik Hava Üssü [509]","hava","35.078109","33.029531","48","Gizli","DOĞRULANDI | Açık kaynak askeri veritabanı çapraz teyit | Koordinat uydu görüntüsüyle doğrulandı","NORMAL","11.52","Hava üsleri saldırı altında kaldığında hava hakimiyeti kaybedilir. Perimeter radar, hava savunma sistemi ve EMP koruması birincil gereksinimlerdir."
"510","Girit - Savunma Gemisi İnşa Tersanesi [510]","sanayi","35.58502","24.661753","80","Kısmi","KISMİ DOĞRULAMA | İstihbarat raporu bazlı tahmin | Koordinat yaklaşık | Bağımsız teyit önerilir","ACİL KORUMA","2.41","Savunma sanayi tesisleri üretim sürekliliği için kritiktir. Çevre güvenliği şarttır."
"511","Kıbrıs - Nükleer Araştırma Reaktörü [511]","nukleer","35.287636","33.703121","82","Planlama","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","ACİL KORUMA","2.17","Nükleer tesisler en yüksek koruma standartlarına tabidir. CBRN savunma ve çok katmanlı güvenlik zorunludur."
"512","Suudi Arabistan - Genelkurmay İleri Karargah [512]","askeri","27.099707","47.337883","80","Kısmi","DOĞRULANDI | Uydu görüntüsü analizi + OSINT çapraz teyit | Koordinat bölge haritasıyla teyit","ACİL KORUMA","10.69","Askeri tesisler birincil hedef kategorisindedir. Derinlemesine savunma ve yedek komuta noktaları zorunludur."
"513","Yunanistan Adalar - Güdümlü Mermi Balistik Araştırma [513]","arastirma","38.74156","24.579008","84","Planlama","KISMİ DOĞRULAMA | İstihbarat raporu bazlı tahmin | Koordinat yaklaşık | Bağımsız teyit önerilir","ACİL KORUMA","17.75","Araştırma ve geliştirme tesisleri teknolojik üstünlük için kritiktir. Bilgi güvenliği zorunludur."
"514","Suudi Arabistan - Rüzgar Enerji Parkı [514]","enerji","29.927368","48.206753","84","Aktif","DOĞRULANDI | Açık kaynak askeri veritabanı çapraz teyit | Koordinat uydu görüntüsüyle doğrulandı","ACİL KORUMA","0.15","Enerji altyapısının çökmesi bölgedeki tüm askeri ve sivil kapasiteyi felç eder. Yedek güç sistemi, siber izleme ve fiziksel bariyer katmanları zorunludur."
"515","Suriye Kıyı - Arama Kurtarma Helikopter Üssü [515]","hava","35.051714","35.883268","71","Bakımda","BİLİNMİYOR | Kesin konum teyit edilemedi | Bölge tahmini yapılmıştır | Doğrulama gerekli","ÖNCELİKLİ","18.12","Hava üsleri saldırı altında kaldığında hava hakimiyeti kaybedilir. Perimeter radar, hava savunma sistemi ve EMP koruması birincil gereksinimlerdir."
"516","İsrail - Entegre Hava Savunma Radar Merkezi [516]","radar","31.4477","34.507527","65","Gizli","DOĞRULANDI | Hükümet resmi kayıtları + açık kaynak teyit | GPS koordinatı doğrulandı","ÖNCELİKLİ","1.14","İletişim ve radar altyapısının çökmesi komuta zincirini koparır. Şifreli yedek kanallar, uydu bağlantısı ve EMP koruması hayati önem taşır."
"517","Suudi Arabistan - Elektronik Savunma Sistem Üretim Merkezi [517]","sanayi","30.94497","55.480574","42","Planlama","DOĞRULANDI | Açık kaynak askeri veritabanı çapraz teyit | Koordinat uydu görüntüsüyle doğrulandı","NORMAL","3.99","Savunma sanayi tesisleri üretim sürekliliği için kritiktir. Çevre güvenliği şarttır."
"518","Suriye Kıyı - Sahil Güvenlik Komutanlığı [518]","liman","35.182067","35.731596","79","Aktif","DOĞRULANDI | Uydu görüntüsü analizi + OSINT çapraz teyit | Koordinat bölge haritasıyla teyit","ÖNCELİKLİ","6.39","Liman ve deniz tesislerinin kaybı lojistik ve ikmal zincirini koparır. Sualtı engel sistemi, sonar izleme ve deniz devriyesi zorunludur."
"519","İtalya NATO/ABD - Radyoaktif Madde Güvenli Depo [519]","nukleer","38.608896","14.676093","91","Planlama","BİLİNMİYOR | Kesin konum teyit edilemedi | Bölge tahmini yapılmıştır | Doğrulama gerekli","ACİL KORUMA","3.41","Nükleer tesisler en yüksek koruma standartlarına tabidir. CBRN savunma ve çok katmanlı güvenlik zorunludur."
"520","Doğu Akdeniz - Hükümet Sürekliliği Sığınağı [520]","tunel","31.935466","29.13929","84","Planlama","BİLİNMİYOR | Kesin konum teyit edilemedi | Bölge tahmini yapılmıştır | Doğrulama gerekli","ACİL KORUMA","9.28","Yeraltı ve sığınak tesisleri komuta sürekliliğini güvence altına alır. CBRN koruması ve yedek iletişim zorunludur."
"521","Doğu Akdeniz - Deniz Hava Devriye İstasyonu [521]","hava","33.944114","31.103588","82","Planlama","DOĞRULANDI | Hükümet resmi kayıtları + açık kaynak teyit | GPS koordinatı doğrulandı","ACİL KORUMA","16.54","Hava üsleri saldırı altında kaldığında hava hakimiyeti kaybedilir. Perimeter radar, hava savunma sistemi ve EMP koruması birincil gereksinimlerdir."
"522","Fransa Güney - Nakliye Lojistik Hava Üssü [522]","hava","42.755362","6.773988","96","Aktif","DOĞRULANDI | Hükümet resmi kayıtları + açık kaynak teyit | GPS koordinatı doğrulandı","ACİL KORUMA","11.66","Hava üsleri saldırı altında kaldığında hava hakimiyeti kaybedilir. Perimeter radar, hava savunma sistemi ve EMP koruması birincil gereksinimlerdir."
"523","Malta - Rüzgar Enerji Parkı [523]","enerji","36.00768","14.217018","77","Kısmi","KISMİ DOĞRULAMA | İstihbarat raporu bazlı tahmin | Koordinat yaklaşık | Bağımsız teyit önerilir","ÖNCELİKLİ","15.52","Enerji altyapısının çökmesi bölgedeki tüm askeri ve sivil kapasiteyi felç eder. Yedek güç sistemi, siber izleme ve fiziksel bariyer katmanları zorunludur."
"524","Doğu Akdeniz - CBRN Kontrol İzleme Noktası [524]","nukleer","32.491494","34.096638","76","Gizli","DOĞRULANDI | Açık kaynak askeri veritabanı çapraz teyit | Koordinat uydu görüntüsüyle doğrulandı","ÖNCELİKLİ","7.97","Nükleer tesisler en yüksek koruma standartlarına tabidir. CBRN savunma ve çok katmanlı güvenlik zorunludur."
"525","Fransa Güney - Radyoaktif Madde Güvenli Depo [525]","nukleer","42.513769","5.24053","84","Kısmi","DOĞRULANDI | Uydu görüntüsü analizi + OSINT çapraz teyit | Koordinat bölge haritasıyla teyit","ACİL KORUMA","3.62","Nükleer tesisler en yüksek koruma standartlarına tabidir. CBRN savunma ve çok katmanlı güvenlik zorunludur."
"526","Suriye Kıyı - Askeri Mühimmat Fabrikası [526]","sanayi","35.423179","36.177415","55","Bakımda","DOĞRULANDI | Açık kaynak askeri veritabanı çapraz teyit | Koordinat uydu görüntüsüyle doğrulandı","NORMAL","5.32","Savunma sanayi tesisleri üretim sürekliliği için kritiktir. Çevre güvenliği şarttır."
"527","Girit - Jet Yakıtı Akaryakıt Deposu [527]","depo","34.95125","24.089306","94","Aktif","DOĞRULANDI | Açık kaynak askeri veritabanı çapraz teyit | Koordinat uydu görüntüsüyle doğrulandı","ACİL KORUMA","19.61","Lojistik ve depo tesisleri savaş hazırlığının temel direğidir. Yeraltı depolama ve ikmal zinciri güvencesi şarttır."
"528","Doğu Akdeniz - Patriot Hava Savunma Bataryası Mevzii [528]","askeri","31.392255","34.666466","98","Bakımda","BİLİNMİYOR | Kesin konum teyit edilemedi | Bölge tahmini yapılmıştır | Doğrulama gerekli","ACİL KORUMA","13.09","Askeri tesisler birincil hedef kategorisindedir. Derinlemesine savunma ve yedek komuta noktaları zorunludur."
"529","Doğu Akdeniz - Arama Kurtarma Helikopter Üssü [529]","hava","33.23318","34.146877","87","Gizli","BİLİNMİYOR | Kesin konum teyit edilemedi | Bölge tahmini yapılmıştır | Doğrulama gerekli","ACİL KORUMA","7.09","Hava üsleri saldırı altında kaldığında hava hakimiyeti kaybedilir. Perimeter radar, hava savunma sistemi ve EMP koruması birincil gereksinimlerdir."
"530","İsrail - Nükleer Araştırma Reaktörü [530]","nukleer","30.811123","35.518252","84","Kısmi","DOĞRULANDI | Uydu görüntüsü analizi + OSINT çapraz teyit | Koordinat bölge haritasıyla teyit","ACİL KORUMA","4.64","Nükleer tesisler en yüksek koruma standartlarına tabidir. CBRN savunma ve çok katmanlı güvenlik zorunludur."
"531","Fransa Güney - Amfibi Hücum Limanı [531]","liman","43.33652","5.155703","83","Bakımda","BİLİNMİYOR | Kesin konum teyit edilemedi | Bölge tahmini yapılmıştır | Doğrulama gerekli","ACİL KORUMA","16.23","Liman ve deniz tesislerinin kaybı lojistik ve ikmal zincirini koparır. Sualtı engel sistemi, sonar izleme ve deniz devriyesi zorunludur."
"532","Ürdün - Zırhlı Araç Üretim Tesisi [532]","sanayi","29.670356","37.835964","93","Aktif","DOĞRULANDI | Uydu görüntüsü analizi + OSINT çapraz teyit | Koordinat bölge haritasıyla teyit","ACİL KORUMA","0.91","Savunma sanayi tesisleri üretim sürekliliği için kritiktir. Çevre güvenliği şarttır."
"533","Suriye Kıyı - Savunma Araştırma Geliştirme Enstitüsü [533]","arastirma","35.329287","35.594307","84","Aktif","DOĞRULANDI | Uydu görüntüsü analizi + OSINT çapraz teyit | Koordinat bölge haritasıyla teyit","ACİL KORUMA","5.2","Araştırma ve geliştirme tesisleri teknolojik üstünlük için kritiktir. Bilgi güvenliği zorunludur."
"534","Yunanistan Adalar - Nükleer Araştırma Reaktörü [534]","nukleer","38.143266","22.035466","89","Aktif","DOĞRULANDI | Uydu görüntüsü analizi + OSINT çapraz teyit | Koordinat bölge haritasıyla teyit","ACİL KORUMA","9.01","Nükleer tesisler en yüksek koruma standartlarına tabidir. CBRN savunma ve çok katmanlı güvenlik zorunludur."
"535","İtalya NATO/ABD - Kritik Altyapı Yeraltı İletişim Tesisi [535]","tunel","41.249782","13.06287","78","Bakımda","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","ÖNCELİKLİ","13.21","Yeraltı ve sığınak tesisleri komuta sürekliliğini güvence altına alır. CBRN koruması ve yedek iletişim zorunludur."
"536","Mısır - Elektronik Savunma Sistem Üretim Merkezi [536]","sanayi","22.786236","31.70875","87","Kısmi","BİLİNMİYOR | Kesin konum teyit edilemedi | Bölge tahmini yapılmıştır | Doğrulama gerekli","ACİL KORUMA","2.69","Savunma sanayi tesisleri üretim sürekliliği için kritiktir. Çevre güvenliği şarttır."
"537","Kıbrıs - Siber Güvenlik Ar-Ge Merkezi [537]","arastirma","34.782701","34.27004","99","Aktif","DOĞRULANDI | Uydu görüntüsü analizi + OSINT çapraz teyit | Koordinat bölge haritasıyla teyit","ACİL KORUMA","9.54","Araştırma ve geliştirme tesisleri teknolojik üstünlük için kritiktir. Bilgi güvenliği zorunludur."
"538","Suriye Kıyı - CBRN Araştırma Test Tesisi [538]","arastirma","35.339739","36.114427","82","Kısmi","KISMİ DOĞRULAMA | İstihbarat raporu bazlı tahmin | Koordinat yaklaşık | Bağımsız teyit önerilir","ACİL KORUMA","2.65","Araştırma ve geliştirme tesisleri teknolojik üstünlük için kritiktir. Bilgi güvenliği zorunludur."
"539","Suriye Kıyı - Kritik Altyapı Yeraltı İletişim Tesisi [539]","tunel","35.255","35.50084","81","Gizli","BİLİNMİYOR | Kesin konum teyit edilemedi | Bölge tahmini yapılmıştır | Doğrulama gerekli","ACİL KORUMA","4.63","Yeraltı ve sığınak tesisleri komuta sürekliliğini güvence altına alır. CBRN koruması ve yedek iletişim zorunludur."
"540","Suudi Arabistan - Tıbbi Malzeme Lojistik Deposu [540]","depo","23.921126","50.742105","98","Aktif","BİLİNMİYOR | Kesin konum teyit edilemedi | Bölge tahmini yapılmıştır | Doğrulama gerekli","ACİL KORUMA","2.72","Lojistik ve depo tesisleri savaş hazırlığının temel direğidir. Yeraltı depolama ve ikmal zinciri güvencesi şarttır."
"541","İtalya NATO/ABD - Arama Kurtarma Helikopter Üssü [541]","hava","40.752709","15.503282","97","Kısmi","KISMİ DOĞRULAMA | Açık kaynak medya + OSINT teyit | Kesin koordinat yaklaşık verilmiştir","ACİL KORUMA","3.82","Hava üsleri saldırı altında kaldığında hava hakimiyeti kaybedilir. Perimeter radar, hava savunma sistemi ve EMP koruması birincil gereksinimlerdir."
"542","Ürdün - Savunma Araştırma Geliştirme Enstitüsü [542]","arastirma","32.28613","35.029879","92","Bakımda","KISMİ DOĞRULAMA | İstihbarat raporu bazlı tahmin | Koordinat yaklaşık | Bağımsız teyit önerilir","ACİL KORUMA","16.1","Araştırma ve geliştirme tesisleri teknolojik üstünlük için kritiktir. Bilgi güvenliği zorunludur."
"543","Malta - CBRN Kontrol İzleme Noktası [543]","nukleer","35.844908","14.185128","77","Kısmi","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","ÖNCELİKLİ","7.34","Nükleer tesisler en yüksek koruma standartlarına tabidir. CBRN savunma ve çok katmanlı güvenlik zorunludur."
"544","Mısır - Siber Savunma Operasyon Merkezi [544]","radar","31.562656","28.78416","97","Kısmi","DOĞRULANDI | Uydu görüntüsü analizi + OSINT çapraz teyit | Koordinat bölge haritasıyla teyit","ACİL KORUMA","7.44","İletişim ve radar altyapısının çökmesi komuta zincirini koparır. Şifreli yedek kanallar, uydu bağlantısı ve EMP koruması hayati önem taşır."
"545","Fransa Güney - CBRN Kontrol İzleme Noktası [545]","nukleer","43.128888","7.564376","92","Bakımda","DOĞRULANDI | Hükümet resmi kayıtları + açık kaynak teyit | GPS koordinatı doğrulandı","ACİL KORUMA","17.28","Nükleer tesisler en yüksek koruma standartlarına tabidir. CBRN savunma ve çok katmanlı güvenlik zorunludur."
"546","Yunanistan Kıta - Denizaltı Deniz Üssü [546]","liman","40.703429","22.570824","72","Planlama","DOĞRULANDI | Hükümet resmi kayıtları + açık kaynak teyit | GPS koordinatı doğrulandı","ÖNCELİKLİ","11.03","Liman ve deniz tesislerinin kaybı lojistik ve ikmal zincirini koparır. Sualtı engel sistemi, sonar izleme ve deniz devriyesi zorunludur."
"547","Ürdün - Yeraltı Ulusal Komuta Bunkerı [547]","tunel","32.040942","35.218622","84","Kısmi","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","ACİL KORUMA","8.74","Yeraltı ve sığınak tesisleri komuta sürekliliğini güvence altına alır. CBRN koruması ve yedek iletişim zorunludur."
"548","Yunanistan Kıta - Nükleer Araştırma Reaktörü [548]","nukleer","38.691832","22.032929","92","Gizli","KISMİ DOĞRULAMA | İstihbarat raporu bazlı tahmin | Koordinat yaklaşık | Bağımsız teyit önerilir","ACİL KORUMA","10.44","Nükleer tesisler en yüksek koruma standartlarına tabidir. CBRN savunma ve çok katmanlı güvenlik zorunludur."
"549","Ürdün - Onarım Tersane Tesisi [549]","liman","33.198649","35.241345","86","Gizli","KISMİ DOĞRULAMA | Açık kaynak medya + OSINT teyit | Kesin koordinat yaklaşık verilmiştir","ACİL KORUMA","3.94","Liman ve deniz tesislerinin kaybı lojistik ve ikmal zincirini koparır. Sualtı engel sistemi, sonar izleme ve deniz devriyesi zorunludur."
"550","Suudi Arabistan - ELINT Elektronik İstihbarat Noktası [550]","radar","25.752433","45.432086","91","Bakımda","KISMİ DOĞRULAMA | İstihbarat raporu bazlı tahmin | Koordinat yaklaşık | Bağımsız teyit önerilir","ACİL KORUMA","0.06","İletişim ve radar altyapısının çökmesi komuta zincirini koparır. Şifreli yedek kanallar, uydu bağlantısı ve EMP koruması hayati önem taşır."
"551","Yunanistan Adalar - Hükümet Sürekliliği Sığınağı [551]","tunel","37.025791","21.19359","92","Gizli","DOĞRULANDI | Uydu görüntüsü analizi + OSINT çapraz teyit | Koordinat bölge haritasıyla teyit","ACİL KORUMA","10.38","Yeraltı ve sığınak tesisleri komuta sürekliliğini güvence altına alır. CBRN koruması ve yedek iletişim zorunludur."
"552","Ürdün - Güdümlü Mermi Balistik Araştırma [552]","arastirma","32.120031","38.860545","97","Gizli","KISMİ DOĞRULAMA | Açık kaynak medya + OSINT teyit | Kesin koordinat yaklaşık verilmiştir","ACİL KORUMA","6.98","Araştırma ve geliştirme tesisleri teknolojik üstünlük için kritiktir. Bilgi güvenliği zorunludur."
"553","İsrail - Balistik Füze Erken Uyarı Radar [553]","radar","30.55073","35.220181","98","Aktif","KISMİ DOĞRULAMA | Açık kaynak medya + OSINT teyit | Kesin koordinat yaklaşık verilmiştir","ACİL KORUMA","3.54","İletişim ve radar altyapısının çökmesi komuta zincirini koparır. Şifreli yedek kanallar, uydu bağlantısı ve EMP koruması hayati önem taşır."
"554","Fransa Güney - Lojistik Destek Tugayı Karargahı [554]","askeri","42.638404","4.724397","96","Planlama","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","ACİL KORUMA","16.27","Askeri tesisler birincil hedef kategorisindedir. Derinlemesine savunma ve yedek komuta noktaları zorunludur."
"555","Suriye Kıyı - Kritik Altyapı Yeraltı İletişim Tesisi [555]","tunel","34.850198","35.809938","87","Planlama","DOĞRULANDI | Hükümet resmi kayıtları + açık kaynak teyit | GPS koordinatı doğrulandı","ACİL KORUMA","9.2","Yeraltı ve sığınak tesisleri komuta sürekliliğini güvence altına alır. CBRN koruması ve yedek iletişim zorunludur."
"556","İtalya NATO/ABD - Savaş Uçağı Bakım Onarım Fabrikası [556]","sanayi","41.392967","15.344677","72","Bakımda","KISMİ DOĞRULAMA | İstihbarat raporu bazlı tahmin | Koordinat yaklaşık | Bağımsız teyit önerilir","ÖNCELİKLİ","14.04","Savunma sanayi tesisleri üretim sürekliliği için kritiktir. Çevre güvenliği şarttır."
"557","Suudi Arabistan - CBRN Araştırma Test Tesisi [557]","arastirma","21.325399","54.664359","23","Bakımda","KISMİ DOĞRULAMA | Açık kaynak medya + OSINT teyit | Kesin koordinat yaklaşık verilmiştir","DÜŞÜK","1.91","Araştırma ve geliştirme tesisleri teknolojik üstünlük için kritiktir. Bilgi güvenliği zorunludur."
"558","Irak - Elektronik Harp Araştırma Lab [558]","arastirma","35.340547","42.183132","91","Bakımda","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","ACİL KORUMA","5.42","Araştırma ve geliştirme tesisleri teknolojik üstünlük için kritiktir. Bilgi güvenliği zorunludur."
"559","Ürdün - Zırhlı Araç Üretim Tesisi [559]","sanayi","32.034895","38.821695","67","Planlama","DOĞRULANDI | Uydu görüntüsü analizi + OSINT çapraz teyit | Koordinat bölge haritasıyla teyit","ÖNCELİKLİ","4.62","Savunma sanayi tesisleri üretim sürekliliği için kritiktir. Çevre güvenliği şarttır."
"560","İsrail - Denizaltı Deniz Üssü [560]","liman","30.448843","35.239755","62","Kısmi","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","ÖNCELİKLİ","0.18","Liman ve deniz tesislerinin kaybı lojistik ve ikmal zincirini koparır. Sualtı engel sistemi, sonar izleme ve deniz devriyesi zorunludur."
"561","İsrail - Askeri Mühimmat Fabrikası [561]","sanayi","31.557601","34.317621","95","Gizli","DOĞRULANDI | Hükümet resmi kayıtları + açık kaynak teyit | GPS koordinatı doğrulandı","ACİL KORUMA","5.53","Savunma sanayi tesisleri üretim sürekliliği için kritiktir. Çevre güvenliği şarttır."
"562","Yunanistan Adalar - Bölgesel Komuta Kontrol Merkezi [562]","askeri","39.359426","25.354044","78","Bakımda","DOĞRULANDI | Açık kaynak askeri veritabanı çapraz teyit | Koordinat uydu görüntüsüyle doğrulandı","ÖNCELİKLİ","10.54","Askeri tesisler birincil hedef kategorisindedir. Derinlemesine savunma ve yedek komuta noktaları zorunludur."
"563","Malta - Güdümlü Mermi Balistik Araştırma [563]","arastirma","35.891328","14.397422","85","Kısmi","DOĞRULANDI | Açık kaynak askeri veritabanı çapraz teyit | Koordinat uydu görüntüsüyle doğrulandı","ACİL KORUMA","13.98","Araştırma ve geliştirme tesisleri teknolojik üstünlük için kritiktir. Bilgi güvenliği zorunludur."
"564","İtalya NATO/ABD - Siber Savunma Operasyon Merkezi [564]","radar","38.546691","12.527781","90","Planlama","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","ACİL KORUMA","17.24","İletişim ve radar altyapısının çökmesi komuta zincirini koparır. Şifreli yedek kanallar, uydu bağlantısı ve EMP koruması hayati önem taşır."
"565","Yunanistan Adalar - Elektronik Savunma Sistem Üretim Merkezi [565]","sanayi","38.226265","20.941404","85","Kısmi","BİLİNMİYOR | Kesin konum teyit edilemedi | Bölge tahmini yapılmıştır | Doğrulama gerekli","ACİL KORUMA","4.25","Savunma sanayi tesisleri üretim sürekliliği için kritiktir. Çevre güvenliği şarttır."
"566","Ürdün - Hükümet Sürekliliği Sığınağı [566]","tunel","32.321612","36.533328","98","Bakımda","DOĞRULANDI | NATO resmi açıklamalar çapraz teyit | Koordinat harita veritabanı teyit","ACİL KORUMA","13.74","Yeraltı ve sığınak tesisleri komuta sürekliliğini güvence altına alır. CBRN koruması ve yedek iletişim zorunludur."
"567","İsrail - Siber Savunma Operasyon Merkezi [567]","radar","29.879505","34.681919","86","Bakımda","DOĞRULANDI | Hükümet resmi kayıtları + açık kaynak teyit | GPS koordinatı doğrulandı","ACİL KORUMA","19.19","İletişim ve radar altyapısının çökmesi komuta zincirini koparır. Şifreli yedek kanallar, uydu bağlantısı ve EMP koruması hayati önem taşır."
